CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
men-holding-hands-medium-light-skin-tone-light-skin-tone,,"The Men Holding Hands: Medium-Light Skin Tone, Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium-Light Skin Tone, Light Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-medium-light-skin-tone-medium-dark-skin-tone,,"The Men Holding Hands: Medium-Light Skin Tone, Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium-Light Skin Tone, Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-medium-light-skin-tone-medium-skin-tone,,"The Men Holding Hands: Medium-Light Skin Tone, Medium Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium-Light Skin Tone, Medium Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-medium-light-skin-tone,,The Men Holding Hands: Medium-Light Skin Tone emoji is a modifier sequence combining 👬 Men Holding Hands and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Men Holding Hands: Medium-Light Skin Tone was added to Emoji 12.0 in 2019.,
men-holding-hands-medium-skin-tone-dark-skin-tone,,"The Men Holding Hands: Medium Skin Tone, Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium Skin Tone, Dark Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-medium-skin-tone-light-skin-tone,,"The Men Holding Hands: Medium Skin Tone, Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium Skin Tone, Light Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-medium-skin-tone-medium-dark-skin-tone,,"The Men Holding Hands: Medium Skin Tone, Medium-Dark Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium Skin Tone, Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.",
men-holding-hands-medium-skin-tone-medium-light-skin-tone,,"The Men Holding Hands: Medium Skin Tone, Medium-Light Skin Tone emoji is a ZWJ sequence combining 👨 Man, 🏽 Medium Skin Tone, ‍ Zero Width Joiner, 🤝 Handshake and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.","Men Holding Hands: Medium Skin Tone, Medium-Light Skin Tone was added to Emoji 12.0 in 2019.",
men-holding-hands-medium-skin-tone,,The Men Holding Hands: Medium Skin Tone emoji is a modifier sequence combining 👬 Men Holding Hands and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Men Holding Hands: Medium Skin Tone was added to Emoji 12.0 in 2019.,
men-holding-hands,"Two men holding hands, most likely due to being in a relationship.",,Men Holding Hands was approved as part of Unicode 6.0 in 2010 under the name “Two Men Holding Hands” and added to Emoji 1.0 in 2015.,
men-with-bunny-ears,The male version of the 👯 Woman With Bunny Ears emoji.,"The Men with Bunny Ears emoji is a ZWJ sequence combining 👯 People with Bunny Ears, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Men with Bunny Ears was added to Emoji 4.0 in 2016.,
men-wrestling,,"The Men Wrestling emoji is a ZWJ sequence combining 🤼 People Wrestling, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Men Wrestling was added to Emoji 4.0 in 2016.,
mending-heart,"A heart shown with a bandage across one side; the opposite of a broken heart. May be used to indicate the process of healing, recovery, or to express sympathy for someone going through a difficult time.","The Mending Heart emoji is a ZWJ sequence combining ❤️ Red Heart, ‍ Zero Width Joiner and 🩹 Adhesive Bandage.These display as a single emoji on supported platforms.",Mending Heart was added to Emoji 13.1 in 2020.,
menorah,"A menorah showing nine lit candles, used on the Jewish holiday of Hanukkah.",,Menorah was approved as part of Unicode 8.0 in 2015 under the name “Menorah with Nine Branches” and added to Emoji 1.0 in 2015.,
mens-room,"A stick-figure icon of a man, generally used to indicate a male restroom. The female equivalent is the Womens Symbol emoji.",,Men’s Room was approved as part of Unicode 6.0 in 2010 under the name “Mens Symbol” and added to Emoji 1.0 in 2015.,
mermaid-dark-skin-tone,,"The Mermaid: Dark Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Mermaid: Dark Skin Tone was added to Emoji 5.0 in 2017.,
mermaid-light-skin-tone,,"The Mermaid: Light Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏻 Light Skin Tone, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Mermaid: Light Skin Tone was added to Emoji 5.0 in 2017.,
mermaid-medium-dark-skin-tone,,"The Mermaid: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Mermaid: Medium-Dark Skin Tone was added to Emoji 5.0 in 2017.,
mermaid-medium-light-skin-tone,,"The Mermaid: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Mermaid: Medium-Light Skin Tone was added to Emoji 5.0 in 2017.,
mermaid-medium-skin-tone,,"The Mermaid: Medium Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Mermaid: Medium Skin Tone was added to Emoji 5.0 in 2017.,
mermaid,,"The Mermaid emoji is a ZWJ sequence combining 🧜 Merperson, ‍ Zero Width Joiner and ♀️ Female Sign.These display as a single emoji on supported platforms.",Mermaid was added to Emoji 5.0 in 2017.,
merman-dark-skin-tone,,"The Merman: Dark Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Merman: Dark Skin Tone was added to Emoji 5.0 in 2017.,
merman-light-skin-tone,,"The Merman: Light Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏻 Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Merman: Light Skin Tone was added to Emoji 5.0 in 2017.,
merman-medium-dark-skin-tone,,"The Merman: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Merman: Medium-Dark Skin Tone was added to Emoji 5.0 in 2017.,
merman-medium-light-skin-tone,,"The Merman: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Merman: Medium-Light Skin Tone was added to Emoji 5.0 in 2017.,
merman-medium-skin-tone,,"The Merman: Medium Skin Tone emoji is a ZWJ sequence combining 🧜 Merperson, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Merman: Medium Skin Tone was added to Emoji 5.0 in 2017.,
merman,,"The Merman emoji is a ZWJ sequence combining 🧜 Merperson, ‍ Zero Width Joiner and ♂️ Male Sign.These display as a single emoji on supported platforms.",Merman was added to Emoji 5.0 in 2017.,
merperson-dark-skin-tone,,The Merperson: Dark Skin Tone emoji is a modifier sequence combining 🧜 Merperson and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Merperson: Dark Skin Tone was added to Emoji 5.0 in 2017.,
merperson-light-skin-tone,,The Merperson: Light Skin Tone emoji is a modifier sequence combining 🧜 Merperson and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Merperson: Light Skin Tone was added to Emoji 5.0 in 2017.,
merperson-medium-dark-skin-tone,,The Merperson: Medium-Dark Skin Tone emoji is a modifier sequence combining 🧜 Merperson and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Merperson: Medium-Dark Skin Tone was added to Emoji 5.0 in 2017.,
merperson-medium-light-skin-tone,,The Merperson: Medium-Light Skin Tone emoji is a modifier sequence combining 🧜 Merperson and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Merperson: Medium-Light Skin Tone was added to Emoji 5.0 in 2017.,
merperson-medium-skin-tone,,The Merperson: Medium Skin Tone emoji is a modifier sequence combining 🧜 Merperson and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Merperson: Medium Skin Tone was added to Emoji 5.0 in 2017.,
merperson,"A merperson who may be referred to as merfolk or merpeople in plural. May be used for the display of a mermaid, mergirl, merwoman, or merman.",,Merperson was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,"🚩 Previously displayed a gendered appearance, now shown as gender neutral on most platforms."
metro,"A metro: frequent underground train found in built-up areas with high populations. This emoji is generally displayed as a forward-facing train, with some platforms also displaying a tunnel as a circle surrounding the train. Apple's artwork shows the characters IL2 which may be a reference to one of the more locked-down buildings at Apple's Infinite Loop Headquarters during iPhone development (IL2 = Infinite Loop 2).",,Metro was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
microbe,"A microbe, as a bacterium grown in a 🧫 Petri Dish or observed under a 🔬 Microscope. Generally depicted as a squiggly, single-celled microorganism with prominent cilia. Color, shape, and position vary across platforms. Commonly used to represent bacteria, viruses, and germs and disease more generally. In 2020, this emoji became primarily used in reference to Coronavirus / COVID-19. Apple's version of this emoji most closely represents a virus, while others from Samsung, Microsoft and Twitter appear as bright green bacteria. Other versions of this emoji also appear mainly as bacteria: Facebook's is indigo, and WhatsApp’s purple. Google’s design previously displayed five microbes in different, bright colors.",,Microbe was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
microphone,"A microphone, used to amplify a person’s voice when speaking or singing. Previously shown with music notes on most platforms, implying it to be used for a singer / singing. Today only Twitter's design retains these notes.",,Microphone was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
microscope,"A microscope, as used in science laboratories to magnify small objects, such as cells or insects. Depicted as a compound opitical microscope with an adjustable eyepiece, lens, arm, and slide stage mounted on a base. Generally shown as metal with the viewing apparatus facing left. Commonly used for various content concerning science and research. May also be used for various senses of inspection (e.g., taking a closer took). Google’s design was previously shown in red.",,Microscope was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
middle-finger-dark-skin-tone,,The Middle Finger: Dark Skin Tone emoji is a modifier sequence combining 🖕 Middle Finger and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Middle Finger: Dark Skin Tone was added to Emoji 2.0 in 2015.,
middle-finger-light-skin-tone,,The Middle Finger: Light Skin Tone emoji is a modifier sequence combining 🖕 Middle Finger and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Middle Finger: Light Skin Tone was added to Emoji 2.0 in 2015.,
middle-finger-medium-dark-skin-tone,,The Middle Finger: Medium-Dark Skin Tone emoji is a modifier sequence combining 🖕 Middle Finger and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Middle Finger: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
middle-finger-medium-light-skin-tone,,The Middle Finger: Medium-Light Skin Tone emoji is a modifier sequence combining 🖕 Middle Finger and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Middle Finger: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
middle-finger-medium-skin-tone,,The Middle Finger: Medium Skin Tone emoji is a modifier sequence combining 🖕 Middle Finger and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Middle Finger: Medium Skin Tone was added to Emoji 2.0 in 2015.,
middle-finger,"A middle finger emoji, used in some western cultures as a rude or insulting gesture. The back of the hand is shown with the middle finger raised.",,Middle Finger was approved as part of Unicode 7.0 in 2014 under the name “Reversed Hand with Middle Finger Extended” and added to Emoji 1.0 in 2015.,
military-helmet,"A round military helmet with a chinstrap. All platforms depict a green helmet, with some designs featuring a green camouflage pattern.",,Military Helmet was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.,
military-medal,A ribbon and medallion generally awarded to a person in the military for heroic acts.,,Military Medal was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.,
milky-way,"The Milky Way – a galaxy of billions of stars that includes our own solar system and planet earth. Shown by many platforms as a night sky, with silhouettes of mountains or hills in the foreground.",,Milky Way was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
minibus,A small bus or minivan designed to carry fewer people than a full-sized bus. Displayed in white on most platforms (green on Facebook).,,Minibus was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
